tier,L_dataset,L_source_id,L_title,L_company,L_location,R_dataset,R_source_id,R_title,R_company,R_location,basis
EXACT_DUPLICATE,Gold,CC000129350J40854346901,大数据平台开发工程师(J10846),北京万方数据股份有限公司,北京·海淀,Zhilian,CC000129350J40854346901,大数据平台开发工程师(J10846),北京万方数据股份有限公司,北京·海淀,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC000413680J40781157513,前端开发工程师(004434),中国移动,广州 天河区,Zhilian,CC000413680J40781157513,前端开发工程师(004434),中国移动,广州 天河区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC000544460J40834811616,系统运维工程师,软通动力信息技术(集团)股份有限公司,北京 昌平区,Zhilian,CC000544460J40834811616,系统运维工程师,软通动力信息技术(集团)股份有限公司,北京 昌平区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC000544460J40837467916,AI 智能体解决方案架构师-base不限-出差,软通动力信息技术(集团)股份有限公司,上海 虹口区,Zhilian,CC000544460J40837467916,AI 智能体解决方案架构师-base不限-出差,软通动力信息技术(集团)股份有限公司,上海 虹口区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC000564270J40377428704,ETL数据工程师（校招）,北京中软融鑫计算机系统工程有限公司,北京·海淀,Zhilian,CC000564270J40377428704,ETL数据工程师（校招）,北京中软融鑫计算机系统工程有限公司,北京·海淀,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC000571490J40867139611,数据分析工程师,经纬恒润,北京·海淀,Zhilian,CC000571490J40867139611,数据分析工程师,经纬恒润,北京·海淀,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC000603700J40869253211,系统架构师,石化盈科,上海 长宁区,Zhilian,CC000603700J40869253211,系统架构师,石化盈科,上海 长宁区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC000638920J40794963414,web前端工程师,上海微创软件股份有限公司,北京 通州区,Zhilian,CC000638920J40794963414,web前端工程师,上海微创软件股份有限公司,北京 通州区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC120160390J40799408616,flink大数据开发,中科软科技股份有限公司,北京·西城,Zhilian,CC120160390J40799408616,flink大数据开发,中科软科技股份有限公司,北京·西城,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC120174080J40873736814,web前端工程师,陆融通达,北京 西城区,Zhilian,CC120174080J40873736814,web前端工程师,陆融通达,北京 西城区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC120188730J40929155512,软件架构师,中国大恒(集团)有限公司北京图像视觉技术分公司,北京 海淀区,Zhilian,CC120188730J40929155512,软件架构师,中国大恒(集团)有限公司北京图像视觉技术分公司,北京 海淀区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC120718860J40874792414,Python应用开发工程师（流媒体/视频平台方向）,路安通智科技集团有限公司,北京 丰台区,Zhilian,CC120718860J40874792414,Python应用开发工程师（流媒体/视频平台方向）,路安通智科技集团有限公司,北京 丰台区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC120849470J40683660301,数据工程师,中粮可口可乐饮料(四川)有限公司,成都 金牛区,Zhilian,CC120849470J40683660301,数据工程师,中粮可口可乐饮料(四川)有限公司,成都 金牛区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC131321010J40837210609,数据分析工程师,中国标准化研究院,北京·海淀,Zhilian,CC131321010J40837210609,数据分析工程师,中国标准化研究院,北京·海淀,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC134310320J40391957406,DevOps运维开发工程师,新拓尼克科技研发中心,北京 朝阳区,Zhilian,CC134310320J40391957406,DevOps运维开发工程师,新拓尼克科技研发中心,北京 朝阳区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC135794170J41002479902,英语高级Python 全栈工程师（AI 原生/RAG）,大连弗斯特高新人才发展管理有限公司,上海 浦东新区,Zhilian,CC135794170J41002479902,英语高级Python 全栈工程师（AI 原生/RAG）,大连弗斯特高新人才发展管理有限公司,上海 浦东新区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC136211330J40899642903,资深运维工程师（K8s云原生&DevOps方向）,易车公司,北京 海淀区,Zhilian,CC136211330J40899642903,资深运维工程师（K8s云原生&DevOps方向）,易车公司,北京 海淀区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC138117190J40879917005,JAVA开发工程师,外企德科,上海 长宁区,Zhilian,CC138117190J40879917005,JAVA开发工程师,外企德科,上海 长宁区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC138718430J40881896414,数据分析工程师,金风科技股份有限公司,北京·通州,Zhilian,CC138718430J40881896414,数据分析工程师,金风科技股份有限公司,北京·通州,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC143806550J40634430514,Python工程师,深圳市紫川软件有限公司,深圳 福田区,Zhilian,CC143806550J40634430514,Python工程师,深圳市紫川软件有限公司,深圳 福田区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC143806550J40881203214,信息安全运维工程师,深圳市紫川软件有限公司,深圳 福田区,Zhilian,CC143806550J40881203214,信息安全运维工程师,深圳市紫川软件有限公司,深圳 福田区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC147646000J40882085014,java后端工程师,北京阿提拉科技有限公司,北京,Zhilian,CC147646000J40882085014,java后端工程师,北京阿提拉科技有限公司,北京,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC148739350J40212149403,单片机工程师,北京航峰科伟装备技术股份有限公司,北京 房山区,Zhilian,CC148739350J40212149403,单片机工程师,北京航峰科伟装备技术股份有限公司,北京 房山区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC172215210J40841006907,技术架构师,上海毕得医药科技股份有限公司,上海 杨浦区,Zhilian,CC172215210J40841006907,技术架构师,上海毕得医药科技股份有限公司,上海 杨浦区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC182896220J40680696016,web前端工程师（中级）,北京德天博诚科技有限公司,北京 朝阳区,Zhilian,CC182896220J40680696016,web前端工程师（中级）,北京德天博诚科技有限公司,北京 朝阳区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC188184510J40889016408,业务功能测试工程师,厦门宏网信息技术有限公司,北京 通州区,Zhilian,CC188184510J40889016408,业务功能测试工程师,厦门宏网信息技术有限公司,北京 通州区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC193399810J40866381207,算法工程师,东华软件股份公司,深圳·福田,Zhilian,CC193399810J40866381207,算法工程师,东华软件股份公司,深圳·福田,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC249428210J41017876704,算法工程师,华海智汇技术有限公司,深圳·龙岗,Zhilian,CC249428210J41017876704,算法工程师,华海智汇技术有限公司,深圳·龙岗,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC255244630J40928632512,Go开发工程师,深圳市南电云商有限公司,广州,Zhilian,CC255244630J40928632512,Go开发工程师,深圳市南电云商有限公司,广州,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC257684730J40941901404,全栈开发,南京众信慧德网络科技有限公司,南京 浦口区,Zhilian,CC257684730J40941901404,全栈开发,南京众信慧德网络科技有限公司,南京 浦口区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC261547480J40380184511,C++开发工程师,中国电子科技集团公司信息科学研究院,北京 石景山区,Zhilian,CC261547480J40380184511,C++开发工程师,中国电子科技集团公司信息科学研究院,北京 石景山区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC278068810J40999547504,数据分析及应用工程师,国电环保,南京·浦口,Zhilian,CC278068810J40999547504,数据分析及应用工程师,国电环保,南京·浦口,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC295757880J40903273713,java软件开发工程师,安徽文都人力资源管理有限公司,上海 青浦区,Zhilian,CC295757880J40903273713,java软件开发工程师,安徽文都人力资源管理有限公司,上海 青浦区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC303218880J40962177002,水声算法工程师,博雅工道,北京 通州区,Zhilian,CC303218880J40962177002,水声算法工程师,博雅工道,北京 通州区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC375739230J40792294211,风控java开发工程师,龙湖集团,北京 朝阳区,Zhilian,CC375739230J40792294211,风控java开发工程师,龙湖集团,北京 朝阳区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC376642810J41014433902,产品技术总监（特种机器人）,沈阳欧艺照明节能技术开发有限公司,北京 海淀区,Zhilian,CC376642810J41014433902,产品技术总监（特种机器人）,沈阳欧艺照明节能技术开发有限公司,北京 海淀区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC383625320J40843453109,前端开发实习生（AI产品方向）,北京三快在线科技有限公司（美团）,北京,Zhilian,CC383625320J40843453109,前端开发实习生（AI产品方向）,北京三快在线科技有限公司（美团）,北京,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC383625320J40872939309,算法数据开发工程师,北京三快在线科技有限公司（美团）,深圳,Zhilian,CC383625320J40872939309,算法数据开发工程师,北京三快在线科技有限公司（美团）,深圳,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC385403120J40838093411,python大数据讲师,北京欣欣科技有限公司,北京 海淀区,Zhilian,CC385403120J40838093411,python大数据讲师,北京欣欣科技有限公司,北京 海淀区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC385622410J40779159906,功能测试/性能测试,深圳市法本信息技术股份有限公司,上海 静安区,Zhilian,CC385622410J40779159906,功能测试/性能测试,深圳市法本信息技术股份有限公司,上海 静安区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC394851980J40866261003,web前端工程师,北京间微科技有限责任公司,北京 海淀区,Zhilian,CC394851980J40866261003,web前端工程师,北京间微科技有限责任公司,北京 海淀区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC443657520J40751315109,软件测试工程师,中电金信软件有限公司,苏州 工业园区,Zhilian,CC443657520J40751315109,软件测试工程师,中电金信软件有限公司,苏州 工业园区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC453635220J40916464003,AI大数据分析工程师,科锐尔人力资源服务(苏州)有限公司（外包）,南京·雨花台,Zhilian,CC453635220J40916464003,AI大数据分析工程师,科锐尔人力资源服务(苏州)有限公司（外包）,南京·雨花台,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC456313120J40878679509,数据分析与运营工程师,南京坦道信息科技有限公司,南京·鼓楼,Zhilian,CC456313120J40878679509,数据分析与运营工程师,南京坦道信息科技有限公司,南京·鼓楼,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC459564120J40928265512,Rust/C++嵌入式开发工程师,深圳市名洋能源科技有限公司,深圳 光明区,Zhilian,CC459564120J40928265512,Rust/C++嵌入式开发工程师,深圳市名洋能源科技有限公司,深圳 光明区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC462451910J40897818203,大数据开发,上海有大信息科技,上海·浦东,Zhilian,CC462451910J40897818203,大数据开发,上海有大信息科技,上海·浦东,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC462451910J40910680303,功能测试,上海有大信息科技,上海 浦东新区,Zhilian,CC462451910J40910680303,功能测试,上海有大信息科技,上海 浦东新区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC478410210J40870006910,高级系统架构师-2026第一批社会招聘（云原生部）,国家电投集团数字科技有限公司,北京 昌平区,Zhilian,CC478410210J40870006910,高级系统架构师-2026第一批社会招聘（云原生部）,国家电投集团数字科技有限公司,北京 昌平区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC495147320J40868105911,运筹优化算法工程师,牧原食品集团股份有限公司,深圳·南山,Zhilian,CC495147320J40868105911,运筹优化算法工程师,牧原食品集团股份有限公司,深圳·南山,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC552355480J40906710603,嵌入式开发工程师,北京微纳星空科技股份有限公司,北京 海淀区,Zhilian,CC552355480J40906710603,嵌入式开发工程师,北京微纳星空科技股份有限公司,北京 海淀区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC557155320J40898912903,智能开发工程师AI(wai包)熟悉Java python go typescript,郑州海奥软件科技有限公司,北京 朝阳区,Zhilian,CC557155320J40898912903,智能开发工程师AI(wai包)熟悉Java python go typescript,郑州海奥软件科技有限公司,北京 朝阳区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC557155320J40915413203,python爬虫工程师AI(WAI派),郑州海奥软件科技有限公司,北京 西城区,Zhilian,CC557155320J40915413203,python爬虫工程师AI(WAI派),郑州海奥软件科技有限公司,北京 西城区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC656513120J40871631601,高级安全运维工程师,深圳市深鹏达电网科技有限公司,深圳 福田区,Zhilian,CC656513120J40871631601,高级安全运维工程师,深圳市深鹏达电网科技有限公司,深圳 福田区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC679989880J40869068405,算法工程师,东风汽车（深圳联友科技）,深圳·福田,Zhilian,CC679989880J40869068405,算法工程师,东风汽车（深圳联友科技）,深圳·福田,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC810359440J40062515307,机器学习算法工程师,北京修齐治平科技有限公司郑州二七区分公司,北京·朝阳,Zhilian,CC810359440J40062515307,机器学习算法工程师,北京修齐治平科技有限公司郑州二七区分公司,北京·朝阳,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC832614090J40782990506,AI模型聚合平台后端开发工程师（Go）,辽宁拓云网络科技发展有限公司,大连,Zhilian,CC832614090J40782990506,AI模型聚合平台后端开发工程师（Go）,辽宁拓云网络科技发展有限公司,大连,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC835956140J40983967004,推荐算法工程师,北京字跳网络技术有限公司,北京,Zhilian,CC835956140J40983967004,推荐算法工程师,北京字跳网络技术有限公司,北京,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC836014720J40823997814,大模型算法工程师,上海青凤信息科技有限公司,杭州·滨江,Zhilian,CC836014720J40823997814,大模型算法工程师,上海青凤信息科技有限公司,杭州·滨江,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC840487120J40871417907,网络信息安全工程师,吉林省百融信息技术有限公司,北京 东城区,Zhilian,CC840487120J40871417907,网络信息安全工程师,吉林省百融信息技术有限公司,北京 东城区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC845032460J40794958608,全栈工程师,庄莲(南京)进出口有限责任公司,南京 江宁区,Zhilian,CC845032460J40794958608,全栈工程师,庄莲(南京)进出口有限责任公司,南京 江宁区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC850829750J40848317113,嵌入式开发工程师（深圳）,柏美智慧科技(上海)股份有限公司,深圳 南山区,Zhilian,CC850829750J40848317113,嵌入式开发工程师（深圳）,柏美智慧科技(上海)股份有限公司,深圳 南山区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC862522050J40881983310,运维工程师,深圳市玄关健康医疗互联网有限公司,深圳 南山区,Zhilian,CC862522050J40881983310,运维工程师,深圳市玄关健康医疗互联网有限公司,深圳 南山区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC873962440J40800922410,算法工程师（视频）需出差采数据,北京博数智源人工智能科技有限公司,北京 东城区,Zhilian,CC873962440J40800922410,算法工程师（视频）需出差采数据,北京博数智源人工智能科技有限公司,北京 东城区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CC886026430J40879644610,嵌入式开发工程师,深圳协同创新高科技发展有限公司,深圳 宝安区,Zhilian,CC886026430J40879644610,嵌入式开发工程师,深圳协同创新高科技发展有限公司,深圳 宝安区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CCL1220151830J40864894907,Python全栈开发工程师（应届生亦可）,上海金曲信息技术有限公司常州分公司,常州,Zhilian,CCL1220151830J40864894907,Python全栈开发工程师（应届生亦可）,上海金曲信息技术有限公司常州分公司,常州,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CCL1225736220J40927069408,数据治理与AI应用开发工程师,深圳日彤大数据有限公司,深圳·罗湖,Zhilian,CCL1225736220J40927069408,数据治理与AI应用开发工程师,深圳日彤大数据有限公司,深圳·罗湖,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CCL1234040390J40952894008,开发工程师（Docker/K8S/多云运维）,上海志奋锦企业管理咨询有限公司,北京 朝阳区,Zhilian,CCL1234040390J40952894008,开发工程师（Docker/K8S/多云运维）,上海志奋锦企业管理咨询有限公司,北京 朝阳区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CCL1307987640J40903707203,芯片平台系统/驱动开发工程师（Linux/BSP方向）,天津穆林科技有限公司北京分公司,北京 海淀区,Zhilian,CCL1307987640J40903707203,芯片平台系统/驱动开发工程师（Linux/BSP方向）,天津穆林科技有限公司北京分公司,北京 海淀区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CCL1314982440J40794817806,研发交付工程师（后端开发）,郑州联创优聘信息科技有限公司,北京 海淀区,Zhilian,CCL1314982440J40794817806,研发交付工程师（后端开发）,郑州联创优聘信息科技有限公司,北京 海淀区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CCL1318355140J40900184403,"应用开发岗（C++、java、phthon,golong）",智联猎头,上海 闵行区,Zhilian,CCL1318355140J40900184403,"应用开发岗（C++、java、phthon,golong）",智联猎头,上海 闵行区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CCL1332618260J40773679310,AI 算法工程师,上海久尺网络科技有限公司,上海·浦东,Zhilian,CCL1332618260J40773679310,AI 算法工程师,上海久尺网络科技有限公司,上海·浦东,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CCL1348335210J40903270015,全栈工程师,南京星赫能源科技有限公司,南京 雨花台区,Zhilian,CCL1348335210J40903270015,全栈工程师,南京星赫能源科技有限公司,南京 雨花台区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CCL1357433570J40881150409,嵌入式开发工程师,深圳市芯启源科技有限公司,深圳 宝安区,Zhilian,CCL1357433570J40881150409,嵌入式开发工程师,深圳市芯启源科技有限公司,深圳 宝安区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CCL1373505060J40854209001,运营技术岗（网络安全方向）,北京智慧城市网络有限公司,北京 丰台区,Zhilian,CCL1373505060J40854209001,运营技术岗（网络安全方向）,北京智慧城市网络有限公司,北京 丰台区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CCL1378358350J40796301606,java数据开发工程师,安徽中安润微科技有限公司,上海 虹口区,Zhilian,CCL1378358350J40796301606,java数据开发工程师,安徽中安润微科技有限公司,上海 虹口区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CCL1381188730J41028477004,嵌入式开发工程师,慧兮(北京)科技有限公司,北京 昌平区,Zhilian,CCL1381188730J41028477004,嵌入式开发工程师,慧兮(北京)科技有限公司,北京 昌平区,sid/url/sha exact match
EXACT_DUPLICATE,Gold,CCL1384980490J40945728904,多模态理解与生成前沿算法研究员,上海人工智能实验室,上海,Zhilian,CCL1384980490J40945728904,多模态理解与生成前沿算法研究员,上海人工智能实验室,上海,sid/url/sha exact match
